id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
31840,Serviced apartment in Florence · ★4.65 · 1 bedroom · 1 bed · 1 private bath,380378,Officina 360,,Centro Storico,43.77709,11.25216,Private room,89,1,128,2023-09-04,0.78,29,352,6,
32120,Rental unit in Florence · ★4.88 · 1 bedroom · 1 bed · 1 bath,99235,Lucia,,Gavinana Galluzzo,43.76157,11.27741,Entire home/apt,95,1,26,2023-10-09,0.16,1,19,6,
32180,Condo in Florence · ★4.76 · 2 bedrooms · 4 beds · 2 baths,13925330,Cesare,,Centro Storico,43.76832,11.24348,Entire home/apt,105,6,34,2023-12-06,0.21,1,167,11,
32395,Bed and breakfast in Florence · ★4.84 · 1 bedroom · 1 bed · 1 private bath,140170,Fabio,,Centro Storico,43.76268,11.24149,Hotel room,63,1,682,2023-11-24,4.19,5,0,80,06139100488
222527,Rental unit in Sesto Fiorentino · ★4.85 · 1 bedroom · 3 beds · 1 bath,804468,Mario,,Rifredi,43.82005,11.22004,Entire home/apt,300,2,284,2022-05-30,1.92,2,89,0,
224562,Condo in Florence · ★4.66 · 1 bedroom · 1 bed · 1 bath,1168814,Andrea,,Centro Storico,43.772,11.26142,Entire home/apt,60,3,101,2023-12-17,0.71,1,0,9,048017LTN2402
39115,Home in Florence · ★4.55 · 1 bedroom · 2 beds · 0 baths,167739,Lorenzo,,Centro Storico,43.77525,11.25258,Private room,83,2,76,2023-10-31,0.47,11,298,13,
224669,Rental unit in Florence · ★5.0 · 1 bedroom · 2 beds · 1 bath,1169561,Silverio,,Campo di Marte,43.76796,11.2714,Entire home/apt,86,2,57,2023-10-31,0.86,3,96,17,
39165,Home in Florence · ★4.28 · 1 bedroom · 2 beds · 1 private bath,167739,Lorenzo,,Centro Storico,43.77525,11.25258,Private room,95,2,20,2023-10-01,0.13,11,300,6,
39822,Rental unit in Florence · ★4.43 · 2 bedrooms · 2 beds · 1 bath,154769,Matilde,,Centro Storico,43.76742,11.24378,Entire home/apt,121,4,29,2023-09-10,0.18,3,190,1,
227059,Home in Florence · ★4.77 · 1 bedroom · 1 bed · 1.5 shared baths,1184498,Enrico,,Centro Storico,43.77022,11.2561,Private room,35,2,461,2023-11-25,3.45,1,3,67,
230853,Rental unit in Florence · ★4.85 · 1 bedroom · 2 beds · 1 private bath,1206885,Mariam,,Campo di Marte,43.77388,11.2844,Private room,61,2,549,2023-11-05,3.91,1,328,53,prot. 296885 pratica 7649/2014/SUAP Firenze pratica telematica MRDMRM51H67Z224N-01122014-1431
